Start Time,End Time,Steps
2020-11-20 00:09:04,2020-11-20 00:10:04,1
2020-11-20 00:10:41,2020-11-20 00:11:41,3
2020-11-20 00:19:53,2020-11-20 00:20:53,3
2020-11-20 00:35:19,2020-11-20 00:36:19,2
2020-11-20 00:36:19,2020-11-20 00:36:33,1
2020-11-20 01:24:15,2020-11-20 01:25:15,2
2020-11-20 01:25:37,2020-11-20 01:26:37,1
2020-11-20 01:28:17,2020-11-20 01:29:17,2
2020-11-20 01:29:17,2020-11-20 01:29:55,1
2020-11-20 01:34:16,2020-11-20 01:35:16,1
2020-11-20 01:37:33,2020-11-20 01:38:33,1
2020-11-20 01:40:38,2020-11-20 01:41:38,1
2020-11-20 01:44:06,2020-11-20 01:45:06,1
2020-11-20 01:49:36,2020-11-20 01:50:36,1
2020-11-20 02:05:29,2020-11-20 02:06:29,2
2020-11-20 02:11:45,2020-11-20 02:12:45,1
2020-11-20 02:25:06,2020-11-20 02:26:06,2
2020-11-20 07:30:41,2020-11-20 07:31:41,1
2020-11-20 07:49:12,2020-11-20 07:50:12,1
2020-11-20 08:14:32,2020-11-20 08:15:32,1
2020-11-20 08:15:32,2020-11-20 08:15:49,8
2020-11-20 08:20:20,2020-11-20 08:21:20,2
2020-11-20 08:21:20,2020-11-20 08:22:06,3
2020-11-20 08:23:26,2020-11-20 08:24:26,1
2020-11-20 08:24:26,2020-11-20 08:24:59,9
2020-11-20 08:28:45,2020-11-20 08:29:45,1
2020-11-20 08:29:45,2020-11-20 08:30:07,6
2020-11-20 08:32:55,2020-11-20 08:33:55,2
2020-11-20 08:33:55,2020-11-20 08:34:15,7
2020-11-20 08:34:15,2020-11-20 08:34:43,1
2020-11-20 08:38:20,2020-11-20 08:39:20,20
2020-11-20 08:50:17,2020-11-20 09:08:00,354
2020-11-20 09:08:00,2020-11-20 09:40:17,646
2020-11-20 10:07:37,2020-11-20 10:08:00,0
2020-11-20 10:08:00,2020-11-20 10:08:37,1
2020-11-20 11:57:38,2020-11-20 11:58:38,14
2020-11-20 12:00:53,2020-11-20 12:01:53,14
2020-11-20 12:01:53,2020-11-20 12:02:05,3
2020-11-20 12:02:05,2020-11-20 12:02:29,12
2020-11-20 12:04:49,2020-11-20 12:05:49,12
2020-11-20 12:05:49,2020-11-20 12:06:11,18
2020-11-20 12:06:11,2020-11-20 12:06:37,4
2020-11-20 12:06:37,2020-11-20 12:07:08,1
2020-11-20 15:39:07,2020-11-20 15:40:07,1
2020-11-20 15:40:07,2020-11-20 15:40:27,9
2020-11-20 15:40:27,2020-11-20 15:40:47,16
2020-11-20 15:40:57,2020-11-20 15:41:57,22
2020-11-20 15:41:57,2020-11-20 15:41:58,2
2020-11-20 17:33:57,2020-11-20 17:34:57,4
2020-11-20 17:34:57,2020-11-20 17:35:33,27
2020-11-20 17:35:33,2020-11-20 17:36:54,59
2020-11-20 17:36:54,2020-11-20 17:36:58,6
2020-11-20 17:36:58,2020-11-20 17:37:51,73
2020-11-20 17:38:09,2020-11-20 17:39:09,1
2020-11-20 17:39:21,2020-11-20 17:39:58,8
2020-11-20 17:39:58,2020-11-20 17:40:21,5
2020-11-20 17:40:21,2020-11-20 17:40:33,1
2020-11-20 17:40:33,2020-11-20 17:41:24,2
2020-11-20 17:41:41,2020-11-20 17:42:41,30
2020-11-20 17:42:41,2020-11-20 17:43:41,55
2020-11-20 17:43:41,2020-11-20 17:43:43,1
2020-11-20 18:01:30,2020-11-20 18:01:50,10
2020-11-20 18:01:50,2020-11-20 18:01:58,12
2020-11-20 18:01:58,2020-11-20 18:02:23,37
2020-11-20 18:02:23,2020-11-20 18:02:35,10
2020-11-20 18:02:35,2020-11-20 18:03:28,35
2020-11-20 18:11:48,2020-11-20 18:12:48,2
2020-11-20 18:12:48,2020-11-20 18:13:06,27
2020-11-20 18:13:06,2020-11-20 18:13:11,7
2020-11-20 18:13:11,2020-11-20 18:13:19,2
2020-11-20 20:11:42,2020-11-20 20:12:42,3
2020-11-20 20:12:42,2020-11-20 20:13:04,24
2020-11-20 20:13:04,2020-11-20 20:13:18,15
2020-11-20 20:27:50,2020-11-20 20:28:50,2
2020-11-20 20:28:50,2020-11-20 20:29:03,12
2020-11-20 20:29:03,2020-11-20 20:29:53,46
2020-11-20 20:29:53,2020-11-20 20:30:08,25
2020-11-20 20:30:08,2020-11-20 20:30:35,30
2020-11-20 20:30:35,2020-11-20 20:30:59,1
2020-11-20 20:31:00,2020-11-20 20:31:45,1
2020-11-20 20:54:11,2020-11-20 20:54:16,6
2020-11-20 20:54:16,2020-11-20 20:54:25,5
2020-11-20 20:54:25,2020-11-20 20:54:54,6
2020-11-20 20:54:54,2020-11-20 20:54:56,3
2020-11-20 20:55:09,2020-11-20 20:55:21,0
2020-11-20 20:55:21,2020-11-20 20:56:09,2
2020-11-20 20:56:09,2020-11-20 20:56:47,4
2020-11-20 20:57:53,2020-11-20 20:58:53,1
2020-11-20 20:58:53,2020-11-20 20:58:55,4
2020-11-20 21:11:11,2020-11-20 21:12:11,3
2020-11-20 21:13:14,2020-11-20 21:14:14,1
2020-11-20 21:14:14,2020-11-20 21:14:46,6
2020-11-20 21:14:46,2020-11-20 21:15:37,2
2020-11-20 21:34:18,2020-11-20 21:35:18,2
2020-11-20 21:35:18,2020-11-20 21:36:06,1
2020-11-20 21:36:06,2020-11-20 21:36:58,2
2020-11-20 22:40:06,2020-11-20 22:41:06,1
2020-11-20 22:53:20,2020-11-20 22:54:20,1
2020-11-20 23:14:58,2020-11-20 23:15:58,1
2020-11-20 23:15:58,2020-11-20 23:16:02,5
2020-11-20 23:16:35,2020-11-20 23:16:42,0
2020-11-20 23:16:42,2020-11-20 23:17:35,1
2020-11-20 23:17:35,2020-11-20 23:17:36,1
2020-11-20 23:18:21,2020-11-20 23:19:21,3
2020-11-20 23:19:21,2020-11-20 23:19:49,39
2020-11-20 23:19:49,2020-11-20 23:19:50,2
2020-11-20 23:19:50,2020-11-20 23:20:13,23
2020-11-20 23:20:13,2020-11-20 23:20:26,2
2020-11-20 23:20:26,2020-11-20 23:21:10,52
2020-11-20 23:21:10,2020-11-20 23:21:16,5
2020-11-20 23:21:16,2020-11-20 23:21:24,8
2020-11-20 23:49:01,2020-11-20 23:49:45,41
2020-11-20 23:49:45,2020-11-20 23:50:46,76
2020-11-20 23:50:46,2020-11-20 23:50:51,8
2020-11-20 23:50:51,2020-11-20 23:51:50,98
2020-11-20 23:51:50,2020-11-20 23:52:47,98
2020-11-20 23:52:47,2020-11-20 23:52:56,16
2020-11-20 23:52:56,2020-11-20 23:53:49,48
2020-11-20 23:53:49,2020-11-20 23:53:54,6
2020-11-20 23:53:54,2020-11-20 23:54:34,18
2020-11-20 23:54:34,2020-11-20 23:54:48,7
2020-11-20 23:55:18,2020-11-20 23:56:18,1
2020-11-20 23:56:28,2020-11-20 23:57:28,10
2020-11-20 23:57:39,2020-11-20 23:58:39,2
2020-11-20 23:58:39,2020-11-20 23:58:41,2
2020-11-20 23:59:44,2020-11-20 23:59:46,2
2020-11-20 23:59:46,2020-11-21 00:00:36,1
2020-11-21 00:04:22,2020-11-21 00:05:22,1
2020-11-21 00:09:48,2020-11-21 00:10:48,1
2020-11-21 00:10:48,2020-11-21 00:10:56,1
2020-11-21 00:15:24,2020-11-21 00:16:24,1
2020-11-21 00:41:10,2020-11-21 00:42:10,2
2020-11-21 01:03:44,2020-11-21 01:04:44,1
2020-11-21 01:04:44,2020-11-21 01:04:59,1
2020-11-21 01:20:08,2020-11-21 01:21:08,1
2020-11-21 01:36:52,2020-11-21 01:37:52,2
2020-11-21 09:48:49,2020-11-21 09:49:49,1
2020-11-21 10:17:44,2020-11-21 10:18:44,8
2020-11-21 10:18:50,2020-11-21 10:19:50,1
2020-11-21 10:20:30,2020-11-21 10:21:30,2
2020-11-21 10:27:38,2020-11-21 10:28:38,9
2020-11-21 10:28:49,2020-11-21 10:29:49,25
2020-11-21 12:21:51,2020-11-21 12:22:51,1
2020-11-21 12:53:41,2020-11-21 12:54:41,9
2020-11-21 12:54:41,2020-11-21 12:54:54,6
2020-11-21 12:56:34,2020-11-21 12:57:34,2
2020-11-21 12:57:34,2020-11-21 12:58:13,3
2020-11-21 12:58:13,2020-11-21 12:58:39,3
2020-11-21 13:05:22,2020-11-21 13:06:22,1
2020-11-21 13:06:22,2020-11-21 13:08:01,70
2020-11-21 13:08:01,2020-11-21 13:08:57,39
2020-11-21 13:08:57,2020-11-21 13:09:20,40
2020-11-21 13:09:20,2020-11-21 13:09:42,32
2020-11-21 13:11:51,2020-11-21 13:12:32,1
2020-11-21 13:26:49,2020-11-21 13:26:56,1
2020-11-21 13:26:56,2020-11-21 13:27:37,66
2020-11-21 13:27:37,2020-11-21 13:27:47,16
2020-11-21 13:27:47,2020-11-21 13:28:21,56
2020-11-21 13:28:21,2020-11-21 13:28:55,25
2020-11-21 13:28:55,2020-11-21 13:29:00,3
2020-11-21 13:29:23,2020-11-21 13:30:15,3
2020-11-21 13:30:15,2020-11-21 13:30:23,0
2020-11-21 13:31:31,2020-11-21 13:32:31,5
2020-11-21 13:32:31,2020-11-21 13:32:35,5
2020-11-21 13:32:35,2020-11-21 13:32:47,0
2020-11-21 14:52:54,2020-11-21 14:54:35,114
2020-11-21 14:54:45,2020-11-21 14:56:19,47
2020-11-21 14:56:19,2020-11-21 14:56:39,3
2020-11-21 18:11:47,2020-11-21 18:12:47,10
2020-11-21 18:13:08,2020-11-21 18:13:37,13
2020-11-21 18:13:37,2020-11-21 18:14:08,13
2020-11-21 18:14:08,2020-11-21 18:14:53,1
2020-11-21 18:14:53,2020-11-21 18:15:13,1
2020-11-21 18:15:13,2020-11-21 18:15:44,1
2020-11-21 18:15:44,2020-11-21 18:16:01,2
2020-11-21 18:16:12,2020-11-21 18:17:12,1
2020-11-21 18:17:12,2020-11-21 18:18:02,53
2020-11-21 18:18:02,2020-11-21 18:18:22,21
2020-11-21 18:18:22,2020-11-21 18:18:45,1
2020-11-21 19:42:36,2020-11-21 19:42:44,5
2020-11-21 19:42:44,2020-11-21 19:42:50,9
2020-11-21 19:42:50,2020-11-21 19:44:19,78
2020-11-21 19:44:19,2020-11-21 19:44:27,1
2020-11-21 20:15:52,2020-11-21 20:16:16,15
2020-11-21 20:16:16,2020-11-21 20:16:59,71
2020-11-21 20:16:59,2020-11-21 20:17:01,4
2020-11-21 20:17:01,2020-11-21 20:18:33,74
2020-11-21 20:18:33,2020-11-21 20:18:43,1
2020-11-21 20:18:43,2020-11-21 20:19:13,2
