Start Time,End Time,Steps
2020-11-24 02:01:19,2020-11-24 02:02:19,1
2020-11-24 02:11:22,2020-11-24 02:12:22,1
2020-11-24 02:16:12,2020-11-24 02:17:12,2
2020-11-24 02:42:06,2020-11-24 02:43:06,2
2020-11-24 08:12:01,2020-11-24 08:13:01,4
2020-11-24 08:16:25,2020-11-24 08:17:25,1
2020-11-24 08:22:41,2020-11-24 08:23:41,2
2020-11-24 09:49:22,2020-11-24 09:50:09,4
2020-11-24 09:50:09,2020-11-24 09:50:22,1
2020-11-24 09:52:13,2020-11-24 09:53:13,4
2020-11-24 09:54:14,2020-11-24 09:55:14,1
2020-11-24 09:55:14,2020-11-24 09:55:23,8
2020-11-24 09:55:47,2020-11-24 09:56:10,1
2020-11-24 09:56:10,2020-11-24 09:56:47,1
2020-11-24 09:56:47,2020-11-24 09:57:00,6
2020-11-24 09:57:00,2020-11-24 09:57:24,11
2020-11-24 09:57:24,2020-11-24 09:58:00,5
2020-11-24 09:58:07,2020-11-24 09:59:07,11
